NAME, SALARY
Kevin Garnett, $23751934
Shaquille O'Neal, $21000000
Jason Kidd, $19728000
Jermaine O'Neal, $19728000
Kobe Bryant, $19490625
Tim Duncan, $19014188
Allen Iverson, $19012500
Stephon Marbury, $19012500
Tracy McGrady, $18257750
Baron Davis, $16440000
NAME, SALARY
Shawn Marion, $16440000
Paul Pierce, $16360094
Antawn Jamison, $16360094
Ray Allen, $16000000
Ben Wallace, $15500000
Elton Brand, $15344000
Mike Bibby, $14983603
Rashard Lewis, $14884951
Michael Redd, $14520000
Amar'e Stoudemire, $13762775
NAME, SALARY
Yao Ming, $13762775
Andrei Kirilenko, $13735000
Pau Gasol, $13735000
Joe Johnson, $13488378
Zach Randolph, $13333333
Vince Carter, $13325000
Kenyon Martin, $13250000
Lamar Odom, $13248596
Carmelo Anthony, $13041250
Chris Bosh, $13041250
NAME, SALARY
LeBron James, $13041250
Rasheed Wallace, $12540000
Raef LaFrentz, $12440787
Wally Szczerbiak, $12275000
Richard Jefferson, $12200000
Larry Hughes, $12000084
Gilbert Arenas, $11950400
Peja Stojakovic, $11664000
Carlos Boozer, $11593816
Steve Nash, $11375000
NAME, SALARY
Kirk Hinrich, $11250000
Jason Richardson, $11111110
David West, $10650000
Erick Dampier, $10590500
Tony Parker, $10500000
Brad Miller, $10500000
Samuel Dalembert, $10251435
Zydrunas Ilgauskas, $10142156
Marcus Camby, $10000000
Richard Hamilton, $10000000
NAME, SALARY
Andre Miller, $9600000
Josh Howard, $9500000
Gerald Wallace, $9500000
Kwame Brown, $9379279
Bobby Simmons, $9280000
Troy Murphy, $9206349
Manu Ginobili, $9079811
Boris Diaw, $9000000
Mehmet Okur, $9000000
Eddy Curry, $8947543
NAME, SALARY
Jason Williams, $8937500
Jason Terry, $8898000
Nene Hilario, $8840000
Tayshaun Prince, $8675620
Chris Kaman, $8600000
Andres Nocioni, $8500000
Caron Butler, $8468990
Al Harrington, $8425625
Mike Miller, $8376194
Cuttino Mobley, $8350000
NAME, SALARY
Antoine Walker, $8329640
T.J. Ford, $8275000
Darius Miles, $8250000
Mike Dunleavy, $8219008
Quentin Richardson, $8105500
Kurt Thomas, $8091188
Jamal Crawford, $7920000
Mark Blount, $7901040
Kenny Thomas, $7875000
Rasho Nesterovic, $7840000
NAME, SALARY
Mo Williams, $7750000
Metta World Peace, $7400000
Malik Rose, $7101250
Corey Maggette, $7000000
Aaron McKie, $7000000
Ricky Davis, $6819000
Jerry Stackhouse, $6750000
Eric Snow, $6703125
Stephen Jackson, $6630000
Luke Ridnour, $6500000
NAME, SALARY
Chris Wilcox, $6500000
Drew Gooden, $6453416
Antonio McDyess, $6373900
Hedo Turkoglu, $6373900
Marquis Daniels, $6373900
Etan Thomas, $6373900
Speedy Claxton, $6306182
Jamaal Tinsley, $6300000
Jason Collins, $6100000
Dwight Howard, $6061274
NAME, SALARY
Marko Jaric, $6050000
Udonis Haslem, $6050000
Matt Harpring, $6000000
Shane Battier, $5883600
Brian Cardinal, $5850000
Mike James, $5826893
Antonio Daniels, $5800000
Stromile Swift, $5800000
Shareef Abdur-Rahim, $5800000
Jerome James, $5800000
NAME, SALARY
Joel Przybilla, $5762575
Dan Gadzuric, $5751130
Nick Collison, $5750000
Bobby Jackson, $5670000
Jared Jeffries, $5632200
Nazr Mohammed, $5632200
Vladimir Radmanovic, $5632200
Leandro Barbosa, $5600000
Donyell Marshall, $5566965
Jeff Foster, $5500000
NAME, SALARY
Matt Carroll, $5450000
Emeka Okafor, $5427307
Mikki Moore, $5356000
Anderson Varejao, $5356000
Jason Kapono, $5356000
Joe Smith, $5205000
Tony Battie, $5200000
Desmond Mason, $5000000
Morris Peterson, $5000000
Brendan Haywood, $5000000
NAME, SALARY
Andrew Bogut, $4991520
Eduardo Najera, $4952380
Ben Gordon, $4881669
Andrea Bargnani, $4838880
John Salmons, $4752000
Raja Bell, $4750000
Greg Oden, $4662000
Rafer Alston, $4550000
Kyle Korver, $4500000
Kendrick Perkins, $4480912
NAME, SALARY
Marvin Williams, $4466040
Shaun Livingston, $4404629
Derek Fisher, $4352000
Trenton Hassell, $4350000
Anthony Parker, $4350000
LaMarcus Aldridge, $4329360
Reggie Evans, $4320000
Sasha Pavlovic, $4250000
Steve Blake, $4250000
Keith Van Horn, $4236997
NAME, SALARY
Damon Jones, $4172432
Kevin Durant, $4171200
Bruce Bowen, $4125000
Deron Williams, $4010640
Travis Outlaw, $4000000
Zaza Pachulia, $4000000
Jorge Garbajosa, $4000000
Luke Walton, $4000000
Carlos Arroyo, $4000000
Devin Harris, $3995003
NAME, SALARY
Marcus Banks, $3966207
Darius Songaila, $3942000
Adam Morrison, $3887880
Bob Sura, $3840000
Pat Garrity, $3818750
Greg Buckner, $3750746
Al Horford, $3745800
Amir Johnson, $3666667
Steven Hunter, $3638600
Robert Horry, $3630000
NAME, SALARY
Chris Paul, $3615960
Keyon Dooling, $3596000
Tyrus Thomas, $3505320
Fabricio Oberto, $3500000
Brian Cook, $3500000
Mickael Pietrus, $3470771
Kevin Ollie, $3441900
Mike Conley, $3377160
DeShawn Stevenson, $3348215
