NAME, SALARY
Kobe Bryant, $30453805
Dirk Nowitzki, $22721381
Amar'e Stoudemire, $21679893
Joe Johnson, $21466718
Carmelo Anthony, $21388953
Dwight Howard, $20513178
Pau Gasol, $19285850
Chris Bosh, $19067500
LeBron James, $19067500
Dwyane Wade, $18673000
NAME, SALARY
Chris Paul, $18668431
Deron Williams, $18466130
Zach Randolph, $18238333
Rudy Gay, $17888932
Kevin Durant, $17832627
Derrick Rose, $17632688
Blake Griffin, $16441500
Paul Pierce, $15333334
Carlos Boozer, $15300000
LaMarcus Aldridge, $14878000
NAME, SALARY
Marc Gasol, $14860523
Russell Westbrook, $14693906
Kevin Love, $14693906
Emeka Okafor, $14487500
Roy Hibbert, $14283844
Eric Gordon, $14283844
Luol Deng, $14275000
Tyson Chandler, $14100538
Andrew Bogut, $14000000
David Lee, $13878000
NAME, SALARY
James Harden, $13701250
Al Jefferson, $13500000
Josh Smith, $13500000
Nene Hilario, $13000000
Andre Iguodala, $12868632
Tony Parker, $12500000
Kevin Garnett, $12433735
Serge Ibaka, $12350000
Nikola Pekovic, $12100000
David West, $12000000
NAME, SALARY
Kris Humphries, $12000000
Rajon Rondo, $11954545
Andrea Bargnani, $11862500
Tyreke Evans, $11796247
Nicolas Batum, $11295250
Joakim Noah, $11100000
Richard Jefferson, $11046000
DeAndre Jordan, $10986550
Ty Lawson, $10786517
JaVale McGee, $10750000
NAME, SALARY
Tim Duncan, $10361446
Danilo Gallinari, $10146925
Gerald Wallace, $10105855
Tiago Splitter, $10000000
Stephen Curry, $9887642
Jrue Holiday, $9713484
DeMar DeRozan, $9500000
Paul Millsap, $9500000
Shawn Marion, $9316796
Steve Nash, $9300500
NAME, SALARY
Anderson Varejao, $9036364
Thaddeus Young, $8850000
Kendrick Perkins, $8727437
Jeff Green, $8700000
Mike Conley, $8600001
Charlie Villanueva, $8580000
Rodney Stuckey, $8500000
Jeremy Lin, $8374646
Omer Asik, $8374646
Ryan Anderson, $8308500
NAME, SALARY
Marcus Thornton, $8050000
George Hill, $8000000
Jeff Teague, $8000000
Ersan Ilyasova, $7900000
Marcin Gortat, $7727280
Trevor Ariza, $7727280
Brandon Jennings, $7655503
John Salmons, $7583000
Taj Gibson, $7550000
Marvin Williams, $7500000
NAME, SALARY
Manu Ginobili, $7500000
Arron Afflalo, $7500000
Goran Dragic, $7500000
John Wall, $7459925
Tayshaun Prince, $7235955
Wesley Matthews, $6875480
Jose Calderon, $6791570
Kyle Korver, $6760563
Evan Turner, $6679867
Spencer Hawes, $6500000
NAME, SALARY
Kevin Martin, $6500000
Carl Landry, $6500000
Amir Johnson, $6500000
Brandon Bass, $6450000
