NAME, SALARY
Kobe Bryant, $30453805
Dirk Nowitzki, $20907128
Amar'e Stoudemire, $19948799
Joe Johnson, $19752645
Carmelo Anthony, $19444503
Pau Gasol, $19285850
Chris Bosh, $19067500
LeBron James, $19067500
Dwyane Wade, $18673000
Chris Paul, $18668431
NAME, SALARY
Kevin Durant, $17832626
Derrick Rose, $17632688
Deron Williams, $17177795
Andrew Bynum, $16889000
Paul Pierce, $16790345
Zach Randolph, $16500000
Rudy Gay, $16460538
Carlos Boozer, $15300000
Andre Iguodala, $14968250
Russell Westbrook, $14693906
NAME, SALARY
Emeka Okafor, $14487500
Luol Deng, $14275000
Manu Ginobili, $14107492
Marc Gasol, $13891359
Blake Griffin, $13701250
Brook Lopez, $13668750
Eric Gordon, $13668750
Tyson Chandler, $13604188
Al Jefferson, $13500000
LaMarcus Aldridge, $13500000
NAME, SALARY
Josh Smith, $13200000
Ben Gordon, $13200000
Danny Granger, $13058606
Nene Hilario, $13000000
Andrew Bogut, $13000000
David Lee, $12744000
Tony Parker, $12500000
Kevin Martin, $12439675
Serge Ibaka, $12350000
Hedo Turkoglu, $12000000
NAME, SALARY
Kris Humphries, $12000000
Kevin Garnett, $11566265
Joakim Noah, $11100000
Jose Calderon, $11046591
Rajon Rondo, $11000000
Monta Ellis, $11000000
DeAndre Jordan, $10986550
Corey Maggette, $10924138
Mehmet Okur, $10890000
Nicolas Batum, $10850000
NAME, SALARY
Richard Jefferson, $10164000
Stephen Jackson, $10059750
Andrea Bargnani, $10000000
David West, $10000000
JaVale McGee, $10000000
Andrei Kirilenko, $9779349
Gerald Wallace, $9682435
Tim Duncan, $9638554
Cuttino Mobley, $9500000
Danilo Gallinari, $9439000
NAME, SALARY
Steve Nash, $9300500
Andris Biedrins, $9000000
Ryan Anderson, $8700000
Shawn Marion, $8646364
Paul Millsap, $8603633
Jameer Nelson, $8600000
Rodney Stuckey, $8500000
Mo Williams, $8500000
Kendrick Perkins, $8477437
Jeff Green, $8385000
NAME, SALARY
Jeremy Lin, $8374646
Omer Asik, $8374646
Anderson Varejao, $8368182
Thaddeus Young, $8289130
Marvin Williams, $8287500
John Salmons, $8083000
Charlie Villanueva, $8060000
Caron Butler, $8000000
Tyrus Thomas, $8000000
Chris Kaman, $8000000
NAME, SALARY
Mark Blount, $7967375
Ersan Ilyasova, $7900000
Arron Afflalo, $7750000
Metta World Peace, $7727500
Marcin Gortat, $7727280
Trevor Ariza, $7727280
James Posey, $7595600
Marcus Thornton, $7525000
Mike Conley, $7505786
Goran Dragic, $7500000
NAME, SALARY
John Wall, $7459925
Taj Gibson, $7415730
Beno Udrih, $7372000
Al Harrington, $7148600
