RK,NAME,,SALARY
139,Darren Collison, PG,"$4,797,664"
140,Kostas Papanikolaou, SF,"$4,797,664"
RK,NAME,,SALARY
141,Corey Brewer, SG,"$4,702,500"
142,Ricky Rubio, PG,"$4,660,479"
143,Andre Miller, PG,"$4,650,000"
144,Timofey Mozgov, C,"$4,650,000"
145,Bradley Beal, SG,"$4,505,280"
146,Caron Butler, SF,"$4,500,000"
147,Jonas Jerebko, PF,"$4,500,000"
148,Otto Porter Jr., SF,"$4,470,480"
149,Joel Embiid, C,"$4,427,640"
150,Luc Richard Mbah a Moute, PF,"$4,382,576"
RK,NAME,,SALARY
151,Jared Dudley, SF,"$4,250,000"
152,Kris Humphries, PF,"$4,250,000"
153,C.J. Miles, SF,"$4,205,000"
154,Thabo Sefolosha, SF,"$4,150,000"
155,Dion Waiters, SG,"$4,062,000"
156,Samuel Dalembert, C,"$4,051,527"
157,Cody Zeller, C,"$4,030,560"
158,Danny Green, SG,"$4,025,000"
159,Mario Chalmers, PG,"$4,000,000"
160,Ian Mahinmi, C,"$4,000,000"
161,Aaron Gordon, PF,"$3,992,040"
162,Mo Williams, PG,"$3,965,074"
163,Vince Carter, SG,"$3,911,981"
164,Kevin Seraphin, C,"$3,898,692"
165,Devin Harris, PG,"$3,878,896"
166,Bismack Biyombo, C,"$3,873,398"
167,Patty Mills, PG,"$3,842,105"
168,Joel Anthony, C,"$3,800,000"
169,Raymond Felton, PG,"$3,793,693"
170,Jonas Valanciunas, C,"$3,678,360"
RK,NAME,,SALARY
171,Thomas Robinson, PF,"$3,678,360"
172,Marreese Speights, C,"$3,657,500"
173,Alex Len, C,"$3,649,920"
174,Dante Exum, PG,"$3,615,000"
175,Brandon Knight, PG,"$3,553,917"
176,Gerald Green, SF,"$3,500,000"
177,Darrell Arthur, PF,"$3,457,149"
178,Steve Novak, SF,"$3,445,947"
179,Matt Barnes, SF,"$3,396,250"
180,Mirza Teletovic, PF,"$3,368,100"
RK,NAME,,SALARY
181,Damian Lillard, PG,"$3,340,920"
182,Mike Scott, PF,"$3,333,333"
