NAME, SALARY
Kevin Garnett, $19600000
Shaquille O'Neal, $19285000
Alonzo Mourning, $16879000
Juwan Howard, $16875000
Hakeem Olajuwon, $16685000
Karl Malone, $15750000
Dikembe Mutombo, $14422000
Patrick Ewing, $14000000
David Robinson, $13196000
Scottie Pippen, $13151000
NAME, SALARY
Rasheed Wallace, $12600000
Larry Johnson, $12485000
Gary Payton, $12200000
Tim Hardaway, $12000000
Chris Webber, $12000000
Shawn Kemp, $11720000
Damon Stoudamire, $11250000
John Stockton, $11000000
Antonio McDyess, $10800000
Reggie Miller, $10666000
NAME, SALARY
Arvydas Sabonis, $10636000
Penny Hardaway, $10130000
Zydrunas Ilgauskas, $10130000
Stephon Marbury, $10130000
Ray Allen, $10125000
Latrell Sprewell, $10125000
Antoine Walker, $10125000
Kobe Bryant, $10125000
Bryant Reeves, $10110000
Tim Duncan, $9658000
NAME, SALARY
Tracy McGrady, $9658000
Grant Hill, $9658000
Vlade Divac, $9641000
Tom Gugliotta, $9336000
Allan Houston, $9000000
Keith Van Horn, $9000000
Eddie Jones, $8960000
Brian Grant, $8897000
Tim Thomas, $8507000
Michael Finley, $8400000
NAME, SALARY
Shawn Bradley, $8370000
Terrell Brandon, $8325000
Nick Van Exel, $8184000
Glenn Robinson, $8120000
Steve Smith, $8100000
Elden Campbell, $8050000
Derrick Coleman, $8040000
Avery Johnson, $8000000
Horace Grant, $7843000
Theo Ratliff, $7800000
NAME, SALARY
Jason Kidd, $7630000
Glen Rice, $7578000
Kenny Anderson, $7520000
Matt Geiger, $7515000
Tyrone Hill, $7415000
Toni Kukoc, $7167000
Clifford Robinson, $6890000
Christian Laettner, $6625000
Chris Dudley, $6200000
Jamal Mashburn, $6200000
NAME, SALARY
Dale Davis, $6175000
Alan Henderson, $5909000
P.J. Brown, $5764000
Luc Longley, $5750000
Marcus Camby, $5750000
Jermaine O'Neal, $5700000
Donyell Marshall, $5630000
Bryant Stith, $5620000
Erick Dampier, $5611000
Wesley Person, $5600000
NAME, SALARY
Anthony Mason, $5553000
Ron Mercer, $5515000
Isaac Austin, $5500000
Antonio Davis, $5500000
Steve Nash, $5500000
Kelvin Cato, $5400000
Derrick McKey, $5400000
Jim McIlvaine, $5400000
Sean Elliott, $5333000
Robert Horry, $5300000
NAME, SALARY
Austin Croshere, $5298000
Greg Ostertag, $5200000
Jerry Stackhouse, $5000000
Charlie Ward, $5000000
Lorenzen Wright, $4950000
Loy Vaught, $4812000
Mookie Blaylock, $4800000
Chris Mills, $4800000
Chris Childs, $4680000
Bryon Russell, $4570000
NAME, SALARY
Bo Outlaw, $4500000
Walt Williams, $4500000
Bob Sura, $4386000
Jason Caffey, $4375000
Robert Pack, $4320000
Brent Barry, $4320000
Vitaly Potapenko, $4286000
Brevin Knight, $4250000
Howard Eisley, $4250000
Scott Williams, $4200000
NAME, SALARY
Duane Causwell, $4000000
Brad Miller, $4000000
Ben Wallace, $4000000
Dan Majerle, $4000000
Corliss Williamson, $3997000
Cedric Ceballos, $3937000
Cuttino Mobley, $3922000
Jahidi White, $3922000
Scot Pollard, $3922000
Rashard Lewis, $3920000
NAME, SALARY
Eric Williams, $3892000
Voshon Lenard, $3780000
Dana Barros, $3700000
Michael Olowokandi, $3697000
Kurt Thomas, $3680000
Elton Brand, $3629000
Adonal Foyle, $3578000
Mark Jackson, $3565000
Kenyon Martin, $3536000
Michael Stewart, $3520000
NAME, SALARY
Derek Strong, $3510000
Greg Anthony, $3500000
Sam Cassell, $3500000
Rick Fox, $3412000
Adam Keefe, $3390000
Lamond Murray, $3375000
Eric Snow, $3375000
Ervin Johnson, $3310000
Mike Bibby, $3308000
Jud Buechler, $3259000
NAME, SALARY
Travis Best, $3250000
Steve Francis, $3246000
Tony Battie, $3200000
Travis Knight, $3200000
Stromile Swift, $3164000
Doug Christie, $3132000
Darrell Armstrong, $3100000
Tracy Murray, $3060000
Eric Piatkowski, $3000000
Derek Fisher, $3000000
NAME, SALARY
Chucky Atkins, $3000000
Tyrone Nesby, $2990000
Raef LaFrentz, $2970000
Baron Davis, $2916000
David Wesley, $2880000
Brent Price, $2880000
Dean Garrett, $2880000
Mikki Moore, $2848000
Darius Miles, $2841000
Popeye Jones, $2815000
NAME, SALARY
Antonio Daniels, $2814000
Walter McCarty, $2812000
Jerome Williams, $2750000
Anthony Peeler, $2737000
Jon Barry, $2727000
Cedric E. Henderson, $2700000
Lawrence Funderburke, $2700000
Antawn Jamison, $2678000
Lindsey Hunter, $2650000
Lamar Odom, $2628000
NAME, SALARY
Malik Rose, $2570000
Marcus Fizer, $2562000
Dragan Tarlac, $2500000
Vince Carter, $2425000
Jonathan Bender, $2380000
Chris Whitney, $2370000
Mike Miller, $2320000
A.C. Green, $2250000
Bimbo Coles, $2250000
Randy Brown, $2250000
NAME, SALARY
Derek Anderson, $2250000
Othella Harrington, $2250000
Joe Smith, $2250000
Chris Crawford, $2250000
Eric Montross, $2240000
Robert Traylor, $2203000
Shandon Anderson, $2200000
John Wallace, $2200000
Terry Porter, $2200000
Rodney Rogers, $2200000
NAME, SALARY
Steve Kerr, $2200000
Ron Harper, $2200000
George Lynch, $2200000
Grant Long, $2200000
Wally Szczerbiak, $2162000
Sean Rooks, $2160000
Lucious Harris, $2160000
DerMarr Johnson, $2107000
Alvin Williams, $2100000
Vinny Del Negro, $2100000
NAME, SALARY
Sam Mitchell, $2100000
Clarence Weatherspoon, $2100000
Cherokee Parks, $2100000
Jason Williams, $2011000
Dell Curry, $2000000
Richard Hamilton, $1973000
Chris Mihm, $1923000
Andrew DeClercq, $1920000
Larry Hughes, $1842000
Aaron McKie, $1820000
NAME, SALARY
Andre Miller, $1808000
Greg Foster, $1764000
Muggsy Bogues, $1740000
Darvin Ham, $1700000
Dirk Nowitzki, $1693000
Shawn Marion, $1662000
Joel Przybilla, $1619000
Paul Pierce, $1608000
Jason Terry, $1579000
Keyon Dooling, $1538000
NAME, SALARY
Bonzi Wells, $1528000
Jacque Vaughn, $1500000
Trajan Langdon, $1500000
Matt Bullard, $1481000
Jerome Moiso, $1461000
Aleksandar Radojevic, $1425000
Johnny Newman, $1400000
Keon Clark, $1379000
Tony Massenburg, $1360000
Corey Maggette, $1353000
NAME, SALARY
Corie Blount, $1320000
Courtney Alexander, $1319000
Michael Dickerson, $1310000
Peja Stojakovic, $1310000
Will Avery, $1286000
Mateen Cleaves, $1253000
Matt Harpring, $1244000
Zan Tabak, $1210000
LaPhonso Ellis, $1200000
Eldridge Recasner, $1200000
NAME, SALARY
Danny Manning, $1200000
Danny Ferry, $1200000
Anthony Carter, $1200000
Hersey Hawkins, $1200000
Jason Collier, $1190000
Metta World Peace, $1160000
Hedo Turkoglu, $1131000
Tom Hammonds, $1130000
Rasho Nesterovic, $1123000
Cal Bowdler, $1102000
NAME, SALARY
Greg Buckner, $1100000
Desmond Mason, $1074000
James Posey, $1047000
Quentin Richardson, $1020000
Pat Garrity, $1019000
Quincy Lewis, $1000000
Ruben Patterson, $990000
Roshown McLeod, $978000
Jamaal Magloire, $975000
Dion Glover, $960000
NAME, SALARY
Ricky Davis, $939000
Jeff Foster, $922000
Brian Skinner, $901000
Morris Peterson, $898000
Kenny Thomas, $885000
Fred Hoiberg, $880000
Tyronn Lue, $865000
Devean George, $849000
Felipe Lopez, $831000
DeShawn Stevenson, $828000
NAME, SALARY
John Crotty, $800000
Don MacLean, $798000
Al Harrington, $797000
Dalibor Bagaric, $795000
Tim James, $783000
Jake Tsakalidis, $763000
Vonteego Cummings, $757000
Hubert Davis, $752000
Corey Benjamin, $744000
Nazr Mohammed, $739000
NAME, SALARY
Jumaine Jones, $735000
Bruce Bowen, $733000
Scott Padgett, $730000
Damon Jones, $714000
Erick Barkley, $712000
Mark Madsen, $707000
Darrick Martin, $673000
Emanual Davis, $611000
Eddie Robinson, $600000
John Amaechi, $598000
NAME, SALARY
Shammond Williams, $550000
Stacey Augmon, $548000
Don Reid, $548000
Kevin Edwards, $548000
Mahmoud Abdul-Rauf, $548000
David Wingate, $548000
Dee Brown, $548000
Matt Maloney, $548000
Jeff McInnis, $523000
Moochie Norris, $523000
NAME, SALARY
Ryan Bowen, $508000
Laron Profit, $508000
Rick Brunson, $507000
Mark Pope, $498000
Kornel David, $498000
Bruno Sundov, $498000
Adrian Griffin, $498000
Mark Bryant, $458000
Rafer Alston, $423000
Todd MacCulloch, $423000
NAME, SALARY
Mark Blount, $423000
Calvin Booth, $423000
Chris Herren, $423000
Elliot Perry, $390000
Kevin Ollie, $363000
Milt Palacio, $326000
Eddie House, $316000
Jake Voskuhl, $316000
Stephen Jackson, $316000
Michael Redd, $316000
NAME, SALARY
Eduardo Najera, $316000
Daniel Santiago, $316000
Dan Langhi, $316000
Mike Smith, $316000
Olumide Oyedeji, $316000
Rodney Buford, $288000
Anthony Goldwire, $243000
Chucky Brown, $241000
Vernon Maxwell, $161000
Doug Overton, $90000
NAME, SALARY
Sean Colson, $83000
David Vanterpool, $80000
Steve Goodrich, $37000
Eddie Gill, $34000
Chris Garner, $32000
Scott Burrell, $29000
Dan McClintock, $26000
Raja Bell, $24000
Jamel Thomas, $24000
