NAME, SALARY
Kevin Garnett, $21000000
Shaquille O'Neal, $20000000
Jason Kidd, $18084000
Jermaine O'Neal, $18084000
Kobe Bryant, $17718750
Tim Duncan, $17429673
Allen Iverson, $17184375
Stephon Marbury, $17184375
Tracy McGrady, $16901500
Grant Hill, $16901500
NAME, SALARY
Ben Wallace, $16000000
Vince Carter, $15101626
Antawn Jamison, $15101626
Dirk Nowitzki, $15101622
Steve Francis, $15070000
Shawn Marion, $15070000
Ray Allen, $14611570
Elton Brand, $14248000
Larry Hughes, $13363012
Michael Redd, $13260000
NAME, SALARY
Joe Johnson, $12744190
Mike Bibby, $12500000
Amar'e Stoudemire, $12455000
Yao Ming, $12455000
Andrei Kirilenko, $12364000
Pau Gasol, $12364000
Lamar Odom, $12348596
Kenyon Martin, $12068182
Zach Randolph, $12000000
Wally Szczerbiak, $11775000
NAME, SALARY
Theo Ratliff, $11666666
Rasheed Wallace, $11650000
Raef LaFrentz, $11532037
Carlos Boozer, $11260483
Richard Jefferson, $11200000
Gilbert Arenas, $11096800
Peja Stojakovic, $10800000
Steve Nash, $10500000
Jason Richardson, $9999999
Erick Dampier, $9628000
NAME, SALARY
Brad Miller, $9625000
Samuel Dalembert, $9464307
Tony Parker, $9450000
Zydrunas Ilgauskas, $9442697
Rashard Lewis, $9350649
Jerry Stackhouse, $9296874
Richard Hamilton, $9187500
Tyson Chandler, $9150000
Andre Miller, $8966666
Marcus Camby, $8800000
NAME, SALARY
Bobby Simmons, $8640000
P.J. Brown, $8560000
Jamaal Magloire, $8433334
Kwame Brown, $8287500
Troy Murphy, $8285714
Manu Ginobili, $8254374
Jason Williams, $8250000
Mehmet Okur, $8250000
Eddy Curry, $8171103
Cuttino Mobley, $8125000
NAME, SALARY
Adonal Foyle, $8125000
Doug Christie, $8125000
Jason Terry, $8100000
Desmond Mason, $8037036
Nene Hilario, $8000000
Tayshaun Prince, $7851240
Kurt Thomas, $7821482
Darius Miles, $7750000
Al Harrington, $7625000
Mike Miller, $7623813
NAME, SALARY
Antoine Walker, $7606820
Metta World Peace, $7526316
Quentin Richardson, $7525500
Malik Rose, $7525397
Mike Dunleavy, $7438016
Caron Butler, $7438000
Austin Croshere, $7300000
Mark Blount, $7288165
Rasho Nesterovic, $7280000
Jamal Crawford, $7200000
NAME, SALARY
Kenny Thomas, $7187500
Corey Maggette, $7000000
Speedy Claxton, $6854546
Sam Cassell, $6850000
Joe Smith, $6807000
Ruben Patterson, $6807000
Drew Gooden, $6645402
Danny Fortson, $6596990
Matt Harpring, $6500000
Corliss Williamson, $6500000
NAME, SALARY
Juwan Howard, $6392100
James Posey, $6392100
Ricky Davis, $6364400
Chauncey Billups, $6364400
Chris Wilcox, $6250000
Stephen Jackson, $6120000
Eric Snow, $6093750
Hedo Turkoglu, $5883600
Derek Fisher, $5883600
Marquis Daniels, $5883600
NAME, SALARY
Etan Thomas, $5883600
Jamaal Tinsley, $5850000
LeBron James, $5828089
Jason Collins, $5800000
Tony Battie, $5746000
Donyell Marshall, $5633037
Troy Hudson, $5603000
Gerald Wallace, $5525000
Marko Jaric, $5525000
Udonis Haslem, $5525000
NAME, SALARY
Jeff Foster, $5500000
Antonio Daniels, $5400000
Brian Skinner, $5400000
Shareef Abdur-Rahim, $5400000
Jerome James, $5400000
Shane Battier, $5393300
Dan Gadzuric, $5252065
Bobby Jackson, $5250000
Darko Milicic, $5218622
Nazr Mohammed, $5215000
NAME, SALARY
Jared Jeffries, $5215000
Mike James, $5215000
Vladimir Radmanovic, $5215000
Brent Barry, $5117880
Marc Jackson, $4875000
Dwight Howard, $4806720
Carmelo Anthony, $4694041
Andrew Bogut, $4665960
Eduardo Najera, $4571428
Morris Peterson, $4550000
NAME, SALARY
Andrea Bargnani, $4501200
Raja Bell, $4500000
Brendan Haywood, $4500000
Brevin Knight, $4400000
John Salmons, $4400000
Trenton Hassell, $4350000
Emeka Okafor, $4300560
Eric Williams, $4296000
Chris Bosh, $4235220
Chris Mihm, $4214241
NAME, SALARY
Rafer Alston, $4200000
Marvin Williams, $4174800
Kevin Durant, $4171200
Anthony Parker, $4150000
Carlos Arroyo, $4100000
Damon Stoudamire, $4050000
LaMarcus Aldridge, $4027320
Kyle Korver, $4018182
Reggie Evans, $4000000
Gordan Giricek, $4000000
NAME, SALARY
Zaza Pachulia, $4000000
Andres Nocioni, $3950000
Damon Jones, $3884678
Ben Gordon, $3862080
Shaun Livingston, $3841920
Dwyane Wade, $3841443
Bob Sura, $3840000
Jorge Garbajosa, $3750000
Bruce Bowen, $3750000
Deron Williams, $3749040
NAME, SALARY
Vitaly Potapenko, $3674584
Darius Songaila, $3650000
Adam Morrison, $3616680
Jeff McInnis, $3600000
Marcus Banks, $3600000
Pat Garrity, $3525000
Dale Davis, $3500000
Tyronn Lue, $3500000
Chris Kaman, $3491767
Chris Paul, $3380160
NAME, SALARY
Keyon Dooling, $3348000
Robert Horry, $3315000
Melvin Ely, $3303813
Tyrus Thomas, $3260760
Lorenzen Wright, $3250000
Greg Buckner, $3240741
Zeljko Rebraca, $3240000
Kevin Ollie, $3196050
Ira Newble, $3196050
Kirk Hinrich, $3192628
NAME, SALARY
Devin Harris, $3153120
Fred Jones, $3100000
Trevor Ariza, $3100000
Raymond Felton, $3060840
Jeff Green, $3058200
Steven Hunter, $3024000
Chris Duhon, $3024000
Rasual Butler, $3000000
Chucky Atkins, $3000000
Francisco Elson, $3000000
NAME, SALARY
Shelden Williams, $2952840
Earl Boykins, $2950000
T.J. Ford, $2929467
Jake Tsakalidis, $2900000
Michael Finley, $2889000
Michael Doleac, $2880000
Josh Childress, $2863920
Willie Green, $2800000
Brian Scalabrine, $2793103
Martell Webster, $2780160
NAME, SALARY
Dan Dickau, $2753218
Primoz Brezec, $2750000
Damien Wilkins, $2700000
Eddie Griffin, $2700000
Michael Sweetney, $2696956
Brandon Roy, $2681880
James Jones, $2650000
Anthony Johnson, $2640000
Jarron Collins, $2625698
Luol Deng, $2614440
NAME, SALARY
Jarvis Hayes, $2564127
Juan Dixon, $2550000
Charlie Villanueva, $2537880
Corey Brewer, $2535720
Mickael Pietrus, $2535260
Keith Bogans, $2510000
Nick Collison, $2501070
Fabricio Oberto, $2500000
Bostjan Nachbar, $2500000
Aaron McKie, $2500000
NAME, SALARY
Randy Foye, $2448240
Luke Ridnour, $2425878
Rafael Araujo, $2395200
Jose Calderon, $2333334
Channing Frye, $2325000
Lindsey Hunter, $2250000
Rudy Gay, $2242920
