NAME, SALARY
Kobe Bryant, $24806250
Rashard Lewis, $19573711
Tim Duncan, $18835381
Kevin Garnett, $18832044
Michael Redd, $18300000
Andrei Kirilenko, $17823000
Pau Gasol, $17823000
Gilbert Arenas, $17730694
Yao Ming, $17686100
Zach Randolph, $17666666
NAME, SALARY
Vince Carter, $17522375
Dirk Nowitzki, $17278618
Carmelo Anthony, $17149243
Dwight Howard, $16647180
Kenyon Martin, $16545454
Amar'e Stoudemire, $16486611
Joe Johnson, $16324500
Elton Brand, $15959099
Chris Paul, $14940153
Deron Williams, $14940153
NAME, SALARY
Chris Bosh, $14500000
LeBron James, $14500000
Jason Richardson, $14444443
Carlos Boozer, $14400000
Dwyane Wade, $14200000
Baron Davis, $14000000
Paul Pierce, $13876321
Andrew Bynum, $13700000
Rudy Gay, $13603750
Brandon Roy, $13603750
NAME, SALARY
Tony Parker, $13500000
Samuel Dalembert, $13428129
Antawn Jamison, $13358905
Nick Collison, $13270000
Chauncey Billups, $13150000
Al Jefferson, $13000000
Tyson Chandler, $12600000
Richard Hamilton, $12500000
Andre Iguodala, $12345250
Manu Ginobili, $11854584
NAME, SALARY
Chris Kaman, $11800000
Marcus Camby, $11749832
Josh Smith, $11700000
Eddy Curry, $11530592
Emeka Okafor, $11495000
Nene Hilario, $11360000
Luol Deng, $11345000
LaMarcus Aldridge, $11244000
Tayshaun Prince, $11148760
Monta Ellis, $11000000
NAME, SALARY
Andrew Bogut, $11000000
Danny Granger, $10973202
Jamal Crawford, $10800000
Ben Gordon, $10800000
David Lee, $10800000
Kevin Martin, $10600005
Mike Dunleavy, $10561984
Caron Butler, $10561960
Gerald Wallace, $10500000
Steve Nash, $10310938
NAME, SALARY
Hedo Turkoglu, $10215850
Ray Allen, $10000000
Mehmet Okur, $9945000
Jason Terry, $9873000
Corey Maggette, $9600000
Cuttino Mobley, $9500000
Mo Williams, $9300000
Kirk Hinrich, $9100000
Rajon Rondo, $9090911
Andris Biedrins, $9000000
NAME, SALARY
Jose Calderon, $9000000
Devin Harris, $8981000
Jason Kidd, $8610500
Andrea Bargnani, $8500000
T.J. Ford, $8500000
Stephen Jackson, $8453250
Richard Jefferson, $8400000
David West, $8287500
Lamar Odom, $8200000
John Salmons, $8000000
NAME, SALARY
Mark Blount, $7967375
Jameer Nelson, $7800000
Luis Scola, $7775378
Joel Przybilla, $7725470
Paul Millsap, $7600000
Shane Battier, $7354500
Anderson Varejao, $7281818
Andre Miller, $7269264
Marvin Williams, $7262500
JJ Redick, $7250000
NAME, SALARY
Dan Gadzuric, $7248325
James Posey, $7148800
Marko Jaric, $7100000
Leandro Barbosa, $7100000
Shawn Marion, $7055500
Charlie Villanueva, $7020000
Travis Outlaw, $7000000
Raymond Felton, $7000000
Brendan Haywood, $6900000
Nazr Mohammed, $6883800
NAME, SALARY
Vladimir Radmanovic, $6883800
Andres Nocioni, $6850000
Greg Oden, $6760524
J.R. Smith, $6757851
Kendrick Perkins, $6696720
Morris Peterson, $6665000
Jeff Foster, $6655000
Jason Kapono, $6641440
Tyrus Thomas, $6611570
Jerome James, $6600000
NAME, SALARY
Josh Childress, $6500000
Beno Udrih, $6478600
DeSagana Diop, $6478600
Mike James, $6466600
Rasheed Wallace, $6322320
Marcin Gortat, $6322320
Trevor Ariza, $6322320
Kevin Durant, $6053663
Andray Blatche, $5904152
Drew Gooden, $5765000
NAME, SALARY
Al Harrington, $5765000
Wesley Matthews, $5765000
Kyle Lowry, $5750000
Derrick Rose, $5546160
Nenad Krstic, $5543116
Francisco Garcia, $5500000
Sasha Vujacic, $5475113
Al Horford, $5444857
Blake Griffin, $5357280
Mickael Pietrus, $5300000
NAME, SALARY
Luke Walton, $5260000
Speedy Claxton, $5209454
Channing Frye, $5200000
John Wall, $5144280
Reggie Evans, $5080000
Louis Williams, $5000000
Jason Maxiell, $5000000
Kyle Korver, $5000000
Linas Kleiza, $4995000
Michael Beasley, $4962240
NAME, SALARY
Mike Conley, $4913077
Antonio McDyess, $4860000
Marcus Banks, $4847586
Darius Songaila, $4818000
Martell Webster, $4800000
Hasheem Thabeet, $4793280
Ronnie Brewer, $4790000
Evan Turner, $4602720
Jarrett Jack, $4600000
Chris Andersen, $4533300
NAME, SALARY
O.J. Mayo, $4456200
Jeff Green, $4455988
Charlie Bell, $4447792
Brad Miller, $4400000
Darko Milicic, $4325000
James Harden, $4304520
Matt Carroll, $4300000
Nikola Pekovic, $4275000
Zaza Pachulia, $4251250
Randy Foye, $4250000
NAME, SALARY
Hakim Warrick, $4250000
Nate Robinson, $4200000
DeShawn Stevenson, $4151786
Derrick Favors, $4133280
Bruce Bowen, $4100000
Greg Buckner, $4080915
Yi Jianlian, $4050499
Russell Westbrook, $4017720
Daniel Gibson, $4015334
Anthony Morrow, $4000000
NAME, SALARY
Ronny Turiaf, $4000000
Luke Ridnour, $4000000
Ryan Gomes, $4000000
Willie Green, $3976000
Ramon Sessions, $3964320
Tyreke Evans, $3880920
Corey Brewer, $3875000
Jordan Farmar, $3750000
Wesley Johnson, $3726600
Derek Fisher, $3700000
NAME, SALARY
C.J. Miles, $3700000
Kevin Love, $3638280
C.J. Watson, $3600000
Marc Gasol, $3573333
Timofey Mozgov, $3567096
Dorell Wright, $3540000
Chris Duhon, $3500000
Udonis Haslem, $3500000
Shaun Livingston, $3500000
Tiago Splitter, $3400000
NAME, SALARY
Brandan Wright, $3398072
DeMarcus Cousins, $3374640
Danilo Gallinari, $3304560
Joel Anthony, $3300000
Kelenna Azubuike, $3300000
Will Bynum, $3250000
Johan Petro, $3250000
Thabo Sefolosha, $3250000
Grant Hill, $3240000
Kris Humphries, $3200000
NAME, SALARY
Jonny Flynn, $3192000
Joakim Noah, $3128536
Ekpe Udoh, $3065040
Matt Bonner, $3050000
Eric Gordon, $3016680
Glen Davis, $3000004
Jamario Moon, $3000000
Eduardo Najera, $3000000
Tony Allen, $3000000
Chris Wilcox, $3000000
NAME, SALARY
Spencer Hawes, $2974320
Stephen Curry, $2913840
Thaddeus Young, $2901241
Julian Wright, $2858057
Anthony Parker, $2855769
Mark Madsen, $2840000
Greg Monroe, $2798040
Rodney Stuckey, $2767126
Sebastian Telfair, $2700000
Jordan Hill, $2669520
NAME, SALARY
Nick Young, $2630503
Al-Farouq Aminu, $2563320
D.J. Augustin, $2540000
Maurice Evans, $2500000
Dahntay Jones, $2500000
David Andersen, $2500000
DeMar DeRozan, $2453880
Brook Lopez, $2413320
Ricky Davis, $2400000
Marquis Daniels, $2388000
NAME, SALARY
Marco Belinelli, $2380270
Gordon Hayward, $2356320
Ryan Hollins, $2333333
Brandon Jennings, $2331120
Ersan Ilyasova, $2320500
Craig Smith, $2300000
Jerryd Bayless, $2292600
Quentin Richardson, $2265000
