NAME, SALARY
Kevin Garnett, $24751934
Jason Kidd, $21372000
Jermaine O'Neal, $21372000
Kobe Bryant, $21262500
Shaquille O'Neal, $21000000
Allen Iverson, $20840625
Stephon Marbury, $20840625
Tim Duncan, $20598704
Tracy McGrady, $20370437
Ray Allen, $18388430
NAME, SALARY
Dirk Nowitzki, $18077904
Paul Pierce, $18077903
Shawn Marion, $17810000
Rashard Lewis, $16447871
Michael Redd, $15780000
Andrei Kirilenko, $15106000
Pau Gasol, $15106000
Amar'e Stoudemire, $15070550
Yao Ming, $15070550
Mike Bibby, $14983603
NAME, SALARY
Vince Carter, $14724125
Zach Randolph, $14666667
Gilbert Arenas, $14653466
Ben Wallace, $14500000
Kenyon Martin, $14431816
Dwyane Wade, $14410581
Carmelo Anthony, $14410581
LeBron James, $14410581
Joe Johnson, $14232567
Lamar Odom, $14148596
NAME, SALARY
Rasheed Wallace, $13930000
Wally Szczerbiak, $13775000
Dwight Howard, $13758000
Elton Brand, $13757844
Richard Jefferson, $13200000
Larry Hughes, $12827676
Raef LaFrentz, $12722500
Peja Stojakovic, $12528000
Steve Nash, $12250000
Jason Richardson, $12222221
NAME, SALARY
Carlos Boozer, $11593817
Erick Dampier, $11553000
Tony Parker, $11550000
Brad Miller, $11375000
Tyson Chandler, $11350000
Andre Iguodala, $11300000
Baron Davis, $11250000
Samuel Dalembert, $11238564
Chauncey Billups, $11050000
Al Jefferson, $11000000
NAME, SALARY
Monta Ellis, $11000000
Zydrunas Ilgauskas, $10841615
Richard Hamilton, $10812500
Bobby Simmons, $10602667
Andre Miller, $10333334
Troy Murphy, $10126984
Marcus Camby, $10000000
Josh Smith, $10000000
Kirk Hinrich, $10000000
Josh Howard, $9945000
NAME, SALARY
Antawn Jamison, $9923285
Manu Ginobili, $9905248
David West, $9862500
Eddy Curry, $9723983
Nene Hilario, $9680000
Emeka Okafor, $9537500
Gerald Wallace, $9500000
Chris Kaman, $9500000
Tayshaun Prince, $9500000
Luol Deng, $9385000
NAME, SALARY
Caron Butler, $9249980
Al Harrington, $9226250
Jason Terry, $9196000
Antoine Walker, $9052460
Mike Miller, $9028575
Andris Biedrins, $9000000
Mike Dunleavy, $9000000
Cuttino Mobley, $8925000
Kevin Martin, $8760335
Quentin Richardson, $8685500
NAME, SALARY
Jamal Crawford, $8640000
Kenny Thomas, $8562500
Mark Blount, $8513916
Mehmet Okur, $8500000
Rasho Nesterovic, $8400000
Mo Williams, $8353000
Corey Maggette, $8275862
Andres Nocioni, $8000000
T.J. Ford, $8000000
Devin Harris, $7800000
NAME, SALARY
Jameer Nelson, $7700000
Malik Rose, $7647500
Jose Calderon, $7438018
Metta World Peace, $7400000
Eric Snow, $7312500
Stephen Jackson, $7140000
