NAME, SALARY
Kevin Garnett, $28000000
Shaquille O'Neal, $26571000
Rasheed Wallace, $18000000
Dikembe Mutombo, $17895000
Allan Houston, $15937000
Chris Webber, $15937000
Damon Stoudamire, $14625000
Zydrunas Ilgauskas, $13500000
Vin Baker, $13500000
Antoine Walker, $13500000
NAME, SALARY
Stephon Marbury, $13500000
Michael Finley, $13281000
Keith Van Horn, $13280000
Tim Duncan, $13279000
Tracy McGrady, $13279000
Jalen Rose, $13279000
Eddie Jones, $12320000
Brian Grant, $12234000
Vlade Divac, $12051000
Antonio Davis, $12000000
NAME, SALARY
Vince Carter, $11953000
Tim Thomas, $11825000
Tom Gugliotta, $11668000
Jason Kidd, $10950000
Nick Van Exel, $10912000
Glenn Robinson, $10730000
Theo Ratliff, $10156000
Glen Rice, $9600000
Kerry Kittles, $9267000
Greg Ostertag, $8666000
NAME, SALARY
Jamal Mashburn, $8525000
Toni Kukoc, $8050000
Maurice Taylor, $7800000
Derek Anderson, $7794000
Wesley Person, $7700000
Alan Henderson, $7682000
Austin Croshere, $7610000
Erick Dampier, $7482000
Kelvin Cato, $7344000
Marcus Camby, $7250000
NAME, SALARY
Ron Mercer, $7169000
Shandon Anderson, $6700000
Lorenzen Wright, $6600000
Jerry Stackhouse, $6500000
Elton Brand, $6364000
Doug Christie, $6250000
Peja Stojakovic, $6250000
Eddie Robinson, $6246000
Bob Sura, $6166000
Charlie Ward, $6030000
NAME, SALARY
Bo Outlaw, $5955000
Howard Eisley, $5843000
Steve Nash, $5750000
Steve Francis, $5720000
Vitaly Potapenko, $5715000
Nazr Mohammed, $5700000
Eric Williams, $5560000
Christian Laettner, $5526000
Alvin Williams, $5500000
Ben Wallace, $5500000
NAME, SALARY
Ruben Patterson, $5447000
Calvin Booth, $5446000
Joe Smith, $5445000
Clarence Weatherspoon, $5445000
Avery Johnson, $5445000
Danny Fortson, $5428000
Jerome Williams, $5400000
Brent Barry, $5400000
Jahidi White, $5394000
Kurt Thomas, $5394000
NAME, SALARY
Cuttino Mobley, $5393000
Scot Pollard, $5310000
Robert Horry, $5300000
Shawn Bradley, $5194000
Baron Davis, $5173000
Kenyon Martin, $5128000
Brevin Knight, $5062000
Corliss Williamson, $5000000
Aaron McKie, $5000000
Lamar Odom, $4692000
NAME, SALARY
Stromile Swift, $4614000
Mark Jackson, $4580000
Rick Fox, $4549000
Lamond Murray, $4500000
Eric Snow, $4500000
Michael Stewart, $4480000
Tony Battie, $4400000
Adonal Foyle, $4400000
Jonathan Bender, $4278000
Kwame Brown, $4252000
NAME, SALARY
Zeljko Rebraca, $4200000
Darius Miles, $4130000
Anthony Carter, $4063000
David Wesley, $3960000
Wally Szczerbiak, $3912000
Chucky Atkins, $3900000
Marc Jackson, $3900000
Marcus Fizer, $3726000
Andrew DeClercq, $3625000
Lawrence Funderburke, $3600000
NAME, SALARY
Moochie Norris, $3600000
Richard Hamilton, $3596000
Pau Gasol, $3417000
Mike Miller, $3380000
Andre Miller, $3317000
Lindsey Hunter, $3300000
Chris Whitney, $3259000
DerMarr Johnson, $3087000
Shawn Marion, $3069000
Derek Fisher, $3000000
NAME, SALARY
Chris Crawford, $3000000
Jason Terry, $2933000
Bimbo Coles, $2925000
Aaron Williams, $2925000
Othella Harrington, $2925000
Tony Delk, $2925000
Bobby Jackson, $2925000
Horace Grant, $2903000
Hubert Davis, $2894000
Corey Maggette, $2862000
NAME, SALARY
Chris Mihm, $2823000
Michael Curry, $2800000
George Lynch, $2800000
Metta World Peace, $2676000
John Amaechi, $2610000
Jamal Crawford, $2577000
Shane Battier, $2533000
James Posey, $2445000
Stacey Augmon, $2400000
Joel Przybilla, $2373000
NAME, SALARY
Quincy Lewis, $2350000
Dion Glover, $2270000
Jeff Foster, $2264000
Keyon Dooling, $2256000
Devean George, $2244000
Jerome Moiso, $2230000
Kenny Thomas, $2225000
Etan Thomas, $2211000
Mateen Cleaves, $2134000
DeSagana Diop, $2118000
NAME, SALARY
Jason Collier, $2109000
Jumaine Jones, $2104000
Scott Padgett, $2102000
Hedo Turkoglu, $1995000
Rodney White, $1948000
Desmond Mason, $1898000
Joe Johnson, $1850000
Quentin Richardson, $1805000
Kedrick Brown, $1757000
Jamaal Magloire, $1735000
NAME, SALARY
Vladimir Radmanovic, $1670000
Speedy Claxton, $1667000
Morris Peterson, $1646000
Donnell Harvey, $1631000
DeShawn Stevenson, $1624000
Richard Jefferson, $1586000
Jake Tsakalidis, $1580000
Mamadou N'diaye, $1537000
Troy Murphy, $1507000
Mark Madsen, $1474000
NAME, SALARY
Bryce Drew, $1300000
Michael Bradley, $1292000
Jason Collins, $1227000
Zach Randolph, $1172000
Brandon Armstrong, $995000
Andrei Kirilenko, $956000
Samuel Dalembert, $887000
Primoz Brezec, $862000
Jamaal Tinsley, $861000
Tony Parker, $856000
NAME, SALARY
Gerald Wallace, $764000
Predrag Drobnjak, $639000
Trenton Hassell, $587000
