NAME, SALARY
Kevin Garnett, $25200000
Shaquille O'Neal, $23571000
Shawn Kemp, $21500000
Juwan Howard, $20625000
Scottie Pippen, $19727000
Karl Malone, $19250000
Rasheed Wallace, $16200000
Dikembe Mutombo, $16105000
Chris Webber, $14343000
Damon Stoudamire, $13500000
NAME, SALARY
Gary Payton, $13080000
Ray Allen, $12375000
Vin Baker, $12375000
Antoine Walker, $12375000
Stephon Marbury, $12375000
Tim Duncan, $12072000
Tracy McGrady, $12072000
Grant Hill, $12072000
Reggie Miller, $12046000
Antonio Davis, $12000000
NAME, SALARY
Michael Finley, $11953000
Vlade Divac, $11248000
Eddie Jones, $11200000
Brian Grant, $11121000
Allan Houston, $11000000
Tom Gugliotta, $10890000
Tim Thomas, $10750000
Vince Carter, $10625000
David Robinson, $10500000
Nick Van Exel, $10003000
NAME, SALARY
Steve Smith, $9900000
Glenn Robinson, $9860000
Derrick Coleman, $9830000
Theo Ratliff, $9375000
Jason Kidd, $9260000
Glen Rice, $9200000
Kenny Anderson, $9185000
John Stockton, $9000000
Kerry Kittles, $8717000
Clifford Robinson, $8421000
NAME, SALARY
Toni Kukoc, $8050000
Dale Davis, $8000000
Elden Campbell, $7975000
Greg Ostertag, $7799000
Jamal Mashburn, $7750000
Maurice Taylor, $7150000
Derek Anderson, $7145000
Donyell Marshall, $7140000
Alan Henderson, $7091000
P.J. Brown, $7044000
NAME, SALARY
Wesley Person, $7000000
Austin Croshere, $6960000
Jermaine O'Neal, $6950000
Erick Dampier, $6858000
Marcus Camby, $6750000
Kelvin Cato, $6696000
Ron Mercer, $6618000
Tyrone Hill, $6600000
Bo Outlaw, $6555000
Shandon Anderson, $6100000
NAME, SALARY
Michael Olowokandi, $6061000
Lorenzen Wright, $6050000
Jerry Stackhouse, $6000000
Chris Mills, $6000000
Steve Nash, $5750000
Charlie Ward, $5750000
Eddie Robinson, $5726000
Doug Christie, $5625000
Peja Stojakovic, $5625000
Bob Sura, $5540000
NAME, SALARY
Mike Bibby, $5448000
Alvin Williams, $5350000
Howard Eisley, $5312000
Robert Horry, $5300000
Jerome Williams, $5250000
Jason Caffey, $5250000
Vitaly Potapenko, $5238000
Nazr Mohammed, $5130000
Brevin Knight, $5062000
Brent Barry, $5040000
NAME, SALARY
Eric Williams, $5004000
Ben Wallace, $5000000
Calvin Booth, $4992000
Anthony Mason, $4992000
Ruben Patterson, $4992000
Joe Smith, $4991000
Todd MacCulloch, $4991000
Clarence Weatherspoon, $4991000
Avery Johnson, $4991000
Christian Laettner, $4973000
